times,senders,I_syn_ex,V_m
0.1,1,0.0,19.144638103412213
0.1,10,0.0,19.323740349666895
0.1,11,0.0,19.343640599250747
0.1,12,0.0,19.363540848834603
0.1,13,0.0,19.383441098418455
0.1,14,0.0,19.40334134800231
0.1,15,0.0,19.423241597586166
0.1,16,0.0,19.44314184717002
0.1,17,0.0,19.46304209675387
0.1,18,0.0,19.482942346337726
0.1,19,0.0,19.502842595921578
0.1,2,0.0,19.164538352996065
0.1,20,0.0,19.52274284550543
0.1,21,0.0,19.542643095089286
0.1,22,0.0,19.56254334467314
0.1,23,0.0,19.582443594256993
0.1,24,0.0,19.60234384384085
0.1,25,0.0,19.6222440934247
0.1,26,0.0,19.642144343008553
0.1,27,0.0,19.66204459259241
0.1,28,0.0,19.68194484217626
0.1,29,0.0,19.701845091760113
0.1,3,0.0,19.18443860257992
0.1,30,0.0,19.72174534134397
0.1,31,0.0,19.741645590927824
0.1,32,0.0,19.761545840511676
0.1,33,0.0,19.781446090095532
0.1,34,0.0,19.801346339679384
0.1,35,0.0,19.821246589263236
0.1,36,0.0,19.84114683884709
0.1,37,0.0,19.861047088430944
0.1,38,0.0,19.880947338014796
0.1,39,0.0,19.900847587598655
0.1,4,0.0,19.204338852163772
0.1,40,0.0,19.920747837182507
0.1,41,0.0,19.94064808676636
0.1,42,0.0,19.96054833635021
0.1,43,0.0,19.980448585934067
0.1,44,0.0,0.0
0.1,45,0.0,0.0
0.1,46,0.0,0.0
0.1,47,0.0,0.0
0.1,48,0.0,0.0
0.1,49,0.0,0.0
0.1,5,0.0,19.224239101747624
0.1,50,0.0,0.0
0.1,6,0.0,19.244139351331484
0.1,7,0.0,19.264039600915336
0.1,8,0.0,19.283939850499188
0.1,9,0.0,19.303840100083043
0.2,1,0.0,19.288554821274126
0.2,10,0.0,19.466763791348978
0.2,11,0.0,19.48656478802396
0.2,12,0.0,19.506365784698943
0.2,13,2.9463815838868244,19.52633909519923
0.2,14,0.0,19.54596777804891
0.2,15,0.0,19.565768774723896
0.2,16,0.0,19.585569771398877
0.2,17,1.5283451081820774,19.605415413804284
0.2,18,0.0,19.625171764748846
0.2,19,0.0,19.644972761423826
0.2,2,6.7342712856263915,19.309364423972337
0.2,20,0.0,19.664773758098807
0.2,21,0.0,19.684574754773795
0.2,22,7.851969596604132,19.705800128730047
0.2,23,0.0,19.72417674812376
0.2,24,0.0,19.743977744798745
0.2,25,0.0,19.76377874147373
0.2,26,0.0,19.78357973814871
0.2,27,0.0,19.803380734823694
0.2,28,0.0,19.82318173149868
0.2,29,0.0,19.84298272817366
0.2,3,0.0,19.328156814624094
0.2,30,6.7342712856263915,19.863792330871874
0.2,31,0.0,19.882584721523628
0.2,32,0.0,19.902385718198612
0.2,33,0.0,19.922186714873597
0.2,34,1.5283451081820774,19.942032357279004
0.2,35,0.0,19.96178870822356
0.2,36,0.0,19.981589704898546
0.2,37,0.0,0.0
0.2,38,0.0,0.0
0.2,39,0.0,0.0
0.2,4,0.0,19.347957811299075
0.2,40,0.0,0.0
0.2,41,0.0,0.0
0.2,42,0.0,0.0
0.2,43,0.0,0.0
0.2,44,0.027079049397474932,0.0
0.2,45,0.0,0.0
0.2,46,5.546145914381129,0.0
0.2,47,0.027079049397474932,0.0
0.2,48,0.0,0.0
0.2,49,0.0,0.0
0.2,5,0.0,19.367758807974056
0.2,50,4.284563143554825,0.0
0.2,6,0.027079049397474932,19.387559818145792
0.2,7,0.0,19.407360801324028
0.2,8,2.9463815838868244,19.42733411182432
0.2,9,0.0,19.446962794673993
0.3,1,0.0,19.43175375151118
0.3,10,0.0,19.609073900639736
0.3,11,0.0,19.628776139431793
0.3,12,0.0,19.648478378223857
0.3,13,10.817883608018569,19.671213425932084
0.3,14,0.10779741030640862,19.68788307011455
0.3,15,0.0,19.70758509460004
0.3,16,0.0,19.727287333392102
0.3,17,9.899550058051778,19.74943442856294
0.3,18,0.0,19.766691810976226
0.3,19,0.0,19.786394049768283
0.3,2,13.23032930756587,19.456543462762596
0.3,20,0.0,19.806096288560344
0.3,21,0.0,19.825798527352408
0.3,22,13.928293263838308,19.85135970801359
0.3,23,0.0,19.86520300493653
0.3,24,1.5973638508713617,19.884954100093072
0.3,25,0.0,19.904607482520653
0.3,26,0.0,19.924309721312714
0.3,27,1.5973638508713617,19.944060816469257
0.3,28,0.0,19.963714198896838
0.3,29,5.5857812938153355,19.984085313653267
0.3,3,5.5857812938153355,19.471827105059678
0.3,30,13.23032930756587,0.0
0.3,31,6.765840405113986,0.0
0.3,32,0.10779741030640862,0.0
0.3,33,0.0,0.0
0.3,34,9.899550058051778,0.0
0.3,35,0.0,0.0
0.3,36,0.0,0.0
0.3,37,0.0,0.0
0.3,38,0.0,0.0
0.3,39,0.0,0.0
0.3,4,5.5857812938153355,19.491529343851735
0.3,40,0.0,0.0
0.3,41,0.0,0.0
0.3,42,4.333094710633621,0.0
0.3,43,0.0,0.0
0.3,44,8.919898969349731,0.0
0.3,45,5.5857812938153355,0.0
0.3,46,12.480829327867724,0.0
0.3,47,8.919898969349731,0.0
0.3,48,0.0,0.0
0.3,49,0.0,0.0
0.3,5,0.0,19.510562706679423
0.3,50,11.677480508405168,0.0
0.3,6,8.919898969349731,19.532175833160927
0.3,7,0.0,19.54996718426355
0.3,8,10.817883608018569,19.572702231971785
0.3,9,0.0,19.58937166184767

